,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,RT @BarouchLab: NEW PAPER ALERT <U+0001F4E2> Durability and expansion of neutralizing antibody breadth following Ad26.COV2.S vaccination of mice on @N…,FALSE,0,NA,25-02-2022 17:58,FALSE,NA,1.49727E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BellaMRagazza,2,TRUE,FALSE,NA,NA
2,RT @BarouchLab: NEW PAPER ALERT <U+0001F4E2> Durability and expansion of neutralizing antibody breadth following Ad26.COV2.S vaccination of mice on @N…,FALSE,0,NA,25-02-2022 17:57,FALSE,NA,1.49727E+18,NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">mededbot2020</a>",TelehealthBot,2,TRUE,FALSE,NA,NA
3,NEW PAPER ALERT <U+0001F4E2> Durability and expansion of neutralizing antibody breadth following Ad26.COV2.S vaccination of mi… https://t.co/bzORppijf4,FALSE,9,NA,25-02-2022 17:55,TRUE,NA,1.49727E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",BarouchLab,2,FALSE,FALSE,NA,NA
4,"Because vaccines may be differentially available, understanding comparative effectiveness is important. In this coh… https://t.co/X3vF1ieYsQ",FALSE,1,NA,25-02-2022 16:00,TRUE,NA,1.49724E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JASN_News,0,FALSE,FALSE,NA,NA
5,A case report of vaccine-induced immune thrombocytopenia and thrombosis syndrome after Ad26.COV2.S vaccine (Janssen… https://t.co/9PT6ruMBee,FALSE,0,NA,25-02-2022 02:35,TRUE,NA,1.49704E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",concettaeedy,0,FALSE,FALSE,NA,NA
6,"Longer gap betwen vax doses gives better response.

Boosting humans at 6 months with Ad26.COV2.S (J&amp;J) results in a… https://t.co/GNblAZmHow",FALSE,0,NA,24-02-2022 21:28,TRUE,NA,1.49696E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",brett7201,0,FALSE,FALSE,NA,NA
7,"RT @the_paper_link: Trend new: He X, ...,  Barouch DH (Sci Transl Med) __A homologous or variant booster vaccine after Ad26.COV2.S immuniza…",FALSE,0,NA,24-02-2022 06:00,FALSE,NA,1.49673E+18,NA,"<a href=""https://www.thepaperlink.com"" rel=""nofollow"">the paper link</a>",the_paper_link,1,TRUE,FALSE,NA,NA
8,"RT @BarouchLab: Our new paper on @ScienceTM 
@XuanH9 @JingyouYu @a_effah @h_wanjenny @AidBoudries 

A homologous or variant booster vaccine…",FALSE,0,NA,24-02-2022 01:58,FALSE,NA,1.49667E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",a_effah,5,TRUE,FALSE,NA,NA
9,"Trend new: He X, ...,  Barouch DH (Sci Transl Med) __A homologous or variant booster vaccine after Ad26.COV2.S immu… https://t.co/8BZmoaLhI2",FALSE,0,NA,24-02-2022 00:00,TRUE,NA,1.49664E+18,NA,"<a href=""https://www.thepaperlink.com"" rel=""nofollow"">the paper link</a>",the_paper_link,1,FALSE,FALSE,NA,NA
10,RT @Els_Allergy: Allergic reactions to the Ad26.COV2.S vaccine in South Africa - Read now in the first issue of The Journal of Allergy and…,FALSE,0,NA,23-02-2022 20:36,FALSE,NA,1.49658E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AlumniIkifa,1,TRUE,FALSE,NA,NA
11,@michaelzlin Ad26.COV2.S protected against moderate to severe–critical Covid-19 with onset at least 14 days after a… https://t.co/8pzpIalwjq,FALSE,0,michaelzlin,23-02-2022 17:19,TRUE,1.49653E+18,1.49654E+18,3299827046,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Anthony41172027,0,FALSE,FALSE,NA,NA
12,"RT @BarouchLab: Our new paper on @ScienceTM 
@XuanH9 @JingyouYu @a_effah @h_wanjenny @AidBoudries 

A homologous or variant booster vaccine…",FALSE,0,NA,23-02-2022 16:49,FALSE,NA,1.49653E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rcr_pereira,5,TRUE,FALSE,NA,NA
13,"RT @BarouchLab: Our new paper on @ScienceTM 
@XuanH9 @JingyouYu @a_effah @h_wanjenny @AidBoudries 

A homologous or variant booster vaccine…",FALSE,0,NA,23-02-2022 15:47,FALSE,NA,1.49651E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Skatiq3,5,TRUE,FALSE,NA,NA
14,"RT @BarouchLab: Our new paper on @ScienceTM 
@XuanH9 @JingyouYu @a_effah @h_wanjenny @AidBoudries 

A homologous or variant booster vaccine…",FALSE,0,NA,23-02-2022 15:45,FALSE,NA,1.49651E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Rajeev_The_King,5,TRUE,FALSE,NA,NA
15,"RT @BarouchLab: Our new paper on @ScienceTM 
@XuanH9 @JingyouYu @a_effah @h_wanjenny @AidBoudries 

A homologous or variant booster vaccine…",FALSE,0,NA,23-02-2022 15:32,FALSE,NA,1.49651E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BellaMRagazza,5,TRUE,FALSE,NA,NA
16,"Our new paper on @ScienceTM 
@XuanH9 @JingyouYu @a_effah @h_wanjenny @AidBoudries 

A homologous or variant booster… https://t.co/vncnWMtPcE",FALSE,12,NA,23-02-2022 15:29,TRUE,NA,1.49651E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",BarouchLab,5,FALSE,FALSE,NA,NA
17,A homologous or variant booster vaccine after Ad26.COV2.S immunization enhances SARS-CoV-2-specific immune response… https://t.co/oovBA22stF,FALSE,3,NA,23-02-2022 13:49,TRUE,NA,1.49648E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",thelonevirologi,1,FALSE,FALSE,NA,NA
