"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @EMA_News: EMA recommends the authorisation of #booster doses of #Comirnaty to adolescents from 12 years of age. #COVID19vaccines #Healt…",FALSE,0,NA,2022-02-24 20:15:00,FALSE,NA,"1496941751495450624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","M_Dolors_Romero",40,TRUE,FALSE,NA,NA
"2","RT @EMA_News: EMA recommends the authorisation of #booster doses of #Comirnaty to adolescents from 12 years of age. #COVID19vaccines #Healt…",FALSE,0,NA,2022-02-24 20:14:49,FALSE,NA,"1496941705798598664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jonna_tweets_",40,TRUE,FALSE,NA,NA
"3","RT @EMA_News: EMA recommends the authorisation of #booster doses of #Comirnaty to adolescents from 12 years of age. #COVID19vaccines #Healt…",FALSE,0,NA,2022-02-24 20:14:30,FALSE,NA,"1496941625729335309",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sefc_news",40,TRUE,FALSE,NA,NA
"4","RT @EMA_News: EMA recommends the authorisation of #booster doses of #Comirnaty to adolescents from 12 years of age. #COVID19vaccines #Healt…",FALSE,0,NA,2022-02-24 20:09:50,FALSE,NA,"1496940451596754951",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","katsenarniaan",40,TRUE,FALSE,NA,NA
"5","<U+0001F49B>Clinical trials showed that a booster shot increased the immune response  in participants who finished Pfizer/Comi… https://t.co/Oath1OlL0f",FALSE,0,"ApiTaskforce",2022-02-24 20:09:19,TRUE,"1496940320147181591","1496940324366651396","1304484987152998402","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ApiTaskforce",0,FALSE,FALSE,NA,NA
"6","@LisaCon96741319 They approved Comirnaty, a gene therapy process, to be closed on 2023 <U+0001F605><U+0001F602><U+0001F602>",FALSE,0,"LisaCon96741319",2022-02-24 20:02:45,FALSE,"1496938230440239108","1496938669558669322","1408781562192203776","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JuhaniValisalo",0,FALSE,FALSE,NA,NA
"7","RT @EMA_News: EMA recommends the authorisation of #booster doses of #Comirnaty to adolescents from 12 years of age. #COVID19vaccines #Healt…",FALSE,0,NA,2022-02-24 19:25:55,FALSE,NA,"1496929399660285952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","negrita73bn",40,TRUE,FALSE,NA,NA
"8","RT @EMA_News: EMA recommends the authorisation of #booster doses of #Comirnaty to adolescents from 12 years of age. #COVID19vaccines #Healt…",FALSE,0,NA,2022-02-24 18:59:49,FALSE,NA,"1496922833355624453",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Balzaams",40,TRUE,FALSE,NA,NA
"9","RT @EMA_News: EMA recommends the authorisation of #booster doses of #Comirnaty to adolescents from 12 years of age. #COVID19vaccines #Healt…",FALSE,0,NA,2022-02-24 18:47:40,FALSE,NA,"1496919773933883392",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","iamthemoi",40,TRUE,FALSE,NA,NA
"10","RT @EMA_News: EMA recommends the authorisation of #booster doses of #Comirnaty to adolescents from 12 years of age. #COVID19vaccines #Healt…",FALSE,0,NA,2022-02-24 18:22:16,FALSE,NA,"1496913385191260161",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","muirtheimhne",40,TRUE,FALSE,NA,NA
