"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @MumbaichaDon: 80% of serious Covid cases in Israel “FULLY VACCINATED”

Over 75% of MOST SEVERE Covid cases are people who had at least…",FALSE,0,NA,2022-02-06 03:33:23,FALSE,NA,"1490166707151060992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tanmay59171450",3,TRUE,FALSE,NA,NA
"2","18-44 #BBMP #Bengaluru #CovidVaccine Availability for 06/02 at 09:00AM
FREE Slots 
#COVISHIELD - Dose1:1974, Dose2:… https://t.co/qoxWpuMQFX",FALSE,1,NA,2022-02-06 03:30:30,TRUE,NA,"1490165982249164801",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">VaxBlr</a>","vaxblr",0,FALSE,FALSE,NA,NA
"3","18-44 #URBAN #Bengaluru #CovidVaccine Availability for 06/02 at 09:00AM
FREE Slots 0
PAID Slots 
#COVISHIELD - Dose1:759, Dose2:150",FALSE,0,NA,2022-02-06 03:30:20,FALSE,NA,"1490165938095681536",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">VaxBlr</a>","vaxblr",0,FALSE,FALSE,NA,NA
"4","18-44 #RURAL #Bengaluru #CovidVaccine Availability for 06/02 at 09:00AM
FREE Slots 
#COVISHIELD - Dose1:4, Dose2:1
PAID Slots 0",FALSE,0,NA,2022-02-06 03:30:09,FALSE,NA,"1490165894193954817",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">VaxBlr</a>","vaxblr",0,FALSE,FALSE,NA,NA
"5","RT @MumbaichaDon: 80% of serious Covid cases in Israel “FULLY VACCINATED”

Over 75% of MOST SEVERE Covid cases are people who had at least…",FALSE,0,NA,2022-02-06 03:18:47,FALSE,NA,"1490163034182066176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Satyaka14273620",3,TRUE,FALSE,NA,NA
"6","@dinuguruge We got our 2nd dose covishield on 1st of Aug.. We got covid (assuming it was delta) End Oct and you sai… https://t.co/XlOk1nTzHa",FALSE,0,"dinuguruge",2022-02-06 03:13:55,TRUE,"1490161289515180042","1490161809042538500","187468394","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dhivyakharthik",0,FALSE,FALSE,NA,NA
"7","RT @singhak_endo: Final paper: 6-month longitudinal #antibody #dynamics after 2 dose of #Covishield and #Covaxin in #Indian HCWs just got p…",FALSE,0,NA,2022-02-06 03:13:03,FALSE,NA,"1490161591064489990",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iam_thesingh",8,TRUE,FALSE,NA,NA
"8","@MoHFW_INDIA @rashtrapatibhvn @wbdhfw @HealthCareGov @AyushmanNHA @NHPINDIA Strange' not maintained and updated rec… https://t.co/6Lt0zAQUFD",FALSE,0,"MoHFW_INDIA",2022-02-06 03:03:35,TRUE,NA,"1490159206166822912","2596143056","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KachikantaPal1",0,FALSE,FALSE,NA,NA
"9","RT @MumbaichaDon: 80% of serious Covid cases in Israel “FULLY VACCINATED”

Over 75% of MOST SEVERE Covid cases are people who had at least…",FALSE,0,NA,2022-02-06 02:59:26,FALSE,NA,"1490158162116509697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DiAltoK10",3,TRUE,FALSE,NA,NA
"10","RT @AADITYA7070: And then...they need Indian alms !!

https://t.co/On2I3WBnkE",FALSE,0,NA,2022-02-06 02:52:46,FALSE,NA,"1490156483988066304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BijitKhongsit",2,TRUE,FALSE,NA,NA
