,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,Center for Biologics Evaluation and Research | FDA #novavax  https://t.co/2V9mTMMFP1,FALSE,0,NA,26-02-2022 05:44,FALSE,NA,1.49745E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",gianantonioinla,0,FALSE,FALSE,NA,NA
2,Contact <U+2066>@US_FDA<U+2069>. Why is taking so long to approve #novavax #vaccine? <U+2066>@POTUS<U+2069> <U+2066>@VP<U+2069>  https://t.co/n2eU8d4eHm,FALSE,0,NA,26-02-2022 05:43,FALSE,NA,1.49745E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",gianantonioinla,0,FALSE,FALSE,NA,NA
3,@US_FDA Pls Approve Novavax. We are all waiting to get vaccinated by a traditional vaccine. What is the hold up?  I… https://t.co/KvxVrXBO8c,FALSE,0,US_FDA,26-02-2022 05:33,TRUE,1.49732E+18,1.49744E+18,208120290,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PierreZgheib,0,FALSE,FALSE,NA,NA
4,"RT @Novavax: Yesterday, we delivered our first lot of #COVID19 vaccines in Germany. We’re proud even more Europeans now have a protein-base…",FALSE,0,NA,26-02-2022 05:32,FALSE,NA,1.49744E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DrZoeHyde,53,TRUE,FALSE,NA,NA
5,@CookOkaka @Anliu1980 Indonesia approval happen 11/21. Not many time ago.  I find this novavax  investor call inter… https://t.co/x5jPhg3Wqj,FALSE,0,CookOkaka,26-02-2022 05:31,TRUE,1.49744E+18,1.49744E+18,1.37706E+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SeppeltDon,0,FALSE,FALSE,NA,NA
6,"RT @PamEdwards123: I've been rereading my posts. It's simply not correct to say @Novavax submitted for EUA to @US_FDA 25 days ago

Consider…",FALSE,0,NA,26-02-2022 05:30,FALSE,NA,1.49744E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BryanIverson5,5,TRUE,FALSE,NA,NA
7,"RT @A_Tass1: Did my 1st #Novavax #COVID19Vaccine yesterday,man in his 30s 1st dose
Recently been in hospital with #COVID19 and said “I had…",FALSE,0,NA,26-02-2022 05:28,FALSE,NA,1.49744E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PatrickScarff,4,TRUE,FALSE,NA,NA
8,Strange timing in the sudden jump in cases just as Novavax is rolled out in Australia….,FALSE,0,NA,26-02-2022 05:28,FALSE,NA,1.49744E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",alienfries,0,FALSE,FALSE,NA,NA
9,"@Raffiatim @pumkinbum But the Pfizer jab isn’t tested technology. It has been in development, but mRNA hasn’t been… https://t.co/folfbzb7nQ",FALSE,0,Raffiatim,26-02-2022 05:27,TRUE,1.49744E+18,1.49744E+18,3223320464,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BringBackRights,0,FALSE,FALSE,NA,NA
10,RT @MDinCanada: Evidently Novavax has arrived to much anticipation. Not clear if its safety research is any more robust than was the case f…,FALSE,0,NA,26-02-2022 05:20,FALSE,NA,1.49744E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AnnMeade12,10,TRUE,FALSE,NA,NA
